broker_order_id,instrument_id,quantity,exchange,average_price,current_datetime,current_ltp
2022-02-18 12:07:01.512435,NIFTY08JUL2116000CE.NFO,50,NFO,6.05,2021-07-02 15:15:00.297524,15722.05
2022-02-18 12:07:01.897667,NIFTY08JUL2115400PE.NFO,50,NFO,7.4,2021-07-02 15:15:00.297524,15722.05
2022-02-18 12:07:02.286028,NIFTY08JUL2116150CE.NFO,-100,NFO,2.55,2021-07-02 15:15:00.297524,15722.05
2022-02-18 12:07:02.684824,NIFTY08JUL2115250PE.NFO,-100,NFO,3.6,2021-07-02 15:15:00.297524,15722.05
2022-02-18 12:09:04.813005,NIFTY08JUL2115250PE.NFO,100,NFO,0.1,2021-07-08 15:12:30.526541,15737.1
2022-02-18 12:09:05.245408,NIFTY08JUL2116150CE.NFO,100,NFO,0.15,2021-07-08 15:12:30.526541,15737.1
2022-02-18 12:09:05.677318,NIFTY08JUL2115400PE.NFO,-50,NFO,0.1,2021-07-08 15:12:30.526541,15737.1
2022-02-18 12:09:06.097115,NIFTY08JUL2116000CE.NFO,-50,NFO,0.1,2021-07-08 15:12:30.526541,15737.1
