broker_order_id,instrument_id,quantity,exchange,average_price,current_datetime,current_ltp
2022-02-18 13:05:14.025042,NIFTY05AUG2116050CE.NFO,50,NFO,5.45,2021-07-30 15:20:00.321982,15751.25
2022-02-18 13:05:14.477145,NIFTY05AUG2115450PE.NFO,50,NFO,12.95,2021-07-30 15:20:00.321982,15751.25
2022-02-18 13:05:14.934795,NIFTY05AUG2116200CE.NFO,-100,NFO,2.35,2021-07-30 15:20:00.321982,15751.25
2022-02-18 13:05:15.399860,NIFTY05AUG2115300PE.NFO,-100,NFO,6.15,2021-07-30 15:20:00.321982,15751.25
2022-02-18 13:09:11.628909,NIFTY05AUG2115300PE.NFO,100,NFO,0.8,2021-08-05 09:15:44.464038,16276.35
2022-02-18 13:09:12.137558,NIFTY05AUG2116200CE.NFO,100,NFO,82.05,2021-08-05 09:15:44.464038,16276.35
2022-02-18 13:09:12.633614,NIFTY05AUG2115450PE.NFO,-50,NFO,0.85,2021-08-05 09:15:44.464038,16276.35
2022-02-18 13:09:13.110422,NIFTY05AUG2116050CE.NFO,-50,NFO,217.8,2021-08-05 09:15:44.464038,16276.35
