broker_order_id,instrument_id,quantity,exchange,average_price,current_datetime,current_ltp
2022-02-18 12:37:21.534538,NIFTY22JUL2116250CE.NFO,50,NFO,4.05,2021-07-16 15:20:00.277238,15916.6
2022-02-18 12:37:21.856943,NIFTY22JUL2115600PE.NFO,50,NFO,8.9,2021-07-16 15:20:00.277238,15916.6
2022-02-18 12:37:22.184098,NIFTY22JUL2116400CE.NFO,-100,NFO,2.1,2021-07-16 15:20:00.277238,15916.6
2022-02-18 12:37:22.516318,NIFTY22JUL2115400PE.NFO,-100,NFO,4.7,2021-07-16 15:20:00.277238,15916.6
2022-02-18 12:38:09.799539,NIFTY22JUL2115400PE.NFO,100,NFO,0.1,2021-07-22 15:15:16.456804,15820.15
2022-02-18 12:38:10.166686,NIFTY22JUL2116400CE.NFO,100,NFO,0.1,2021-07-22 15:15:16.456804,15820.15
2022-02-18 12:38:10.521587,NIFTY22JUL2115600PE.NFO,-50,NFO,0.1,2021-07-22 15:15:16.456804,15820.15
2022-02-18 12:38:10.871185,NIFTY22JUL2116250CE.NFO,-50,NFO,0.05,2021-07-22 15:15:16.456804,15820.15
