broker_order_id,instrument_id,quantity,exchange,average_price,current_datetime,current_ltp
2022-02-18 06:23:48.012379,NIFTY27MAY2115550CE.NFO,50,NFO,15.35,2021-05-21 15:15:00.338404,15182.5
2022-02-18 06:23:48.515659,NIFTY27MAY2114900PE.NFO,50,NFO,30.35,2021-05-21 15:15:00.338404,15182.5
2022-02-18 06:23:49.025848,NIFTY27MAY2115650CE.NFO,-100,NFO,7.5,2021-05-21 15:15:00.338404,15182.5
2022-02-18 06:23:49.543913,NIFTY27MAY2114750PE.NFO,-100,NFO,16.45,2021-05-21 15:15:00.338404,15182.5
2022-02-18 06:26:29.013624,NIFTY27MAY2114750PE.NFO,100,NFO,0.15,2021-05-27 15:13:07.383192,15330.15
2022-02-18 06:26:29.576521,NIFTY27MAY2115650CE.NFO,100,NFO,0.15,2021-05-27 15:13:07.383192,15330.15
2022-02-18 06:26:30.126474,NIFTY27MAY2114900PE.NFO,-50,NFO,0.1,2021-05-27 15:13:07.383192,15330.15
2022-02-18 06:26:30.666890,NIFTY27MAY2115550CE.NFO,-50,NFO,0.1,2021-05-27 15:13:07.383192,15330.15
