broker_order_id,instrument_id,quantity,exchange,average_price,current_datetime,current_ltp
2022-02-18 13:10:57.385245,NIFTY12AUG2116600CE.NFO,50,NFO,5.75,2021-08-06 15:20:00.309475,16235.85
2022-02-18 13:10:57.823140,NIFTY12AUG2115950PE.NFO,50,NFO,16.5,2021-08-06 15:20:00.309475,16235.85
2022-02-18 13:10:58.267119,NIFTY12AUG2116750CE.NFO,-100,NFO,2.4,2021-08-06 15:20:00.309475,16235.85
2022-02-18 13:10:58.715461,NIFTY12AUG2115750PE.NFO,-100,NFO,7.75,2021-08-06 15:20:00.309475,16235.85
2022-02-18 13:12:07.206609,NIFTY12AUG2115750PE.NFO,100,NFO,0.2,2021-08-12 15:11:22.468211,16359.5
2022-02-18 13:12:07.696486,NIFTY12AUG2116750CE.NFO,100,NFO,0.1,2021-08-12 15:11:22.468211,16359.5
2022-02-18 13:12:08.170181,NIFTY12AUG2115950PE.NFO,-50,NFO,0.15,2021-08-12 15:11:22.468211,16359.5
2022-02-18 13:12:08.643466,NIFTY12AUG2116600CE.NFO,-50,NFO,0.05,2021-08-12 15:11:22.468211,16359.5
