broker_order_id,instrument_id,quantity,exchange,average_price,current_datetime,current_ltp
2022-02-24 02:43:11.957682,NIFTY27MAY2115350CE.NFO,50,NFO,20.3,2021-05-21 09:35:00.701557,15022.3
2022-02-24 02:43:12.574579,NIFTY27MAY2114700PE.NFO,50,NFO,32.55,2021-05-21 09:35:00.701557,15022.3
2022-02-24 02:43:13.186172,NIFTY27MAY2115450CE.NFO,-100,NFO,10.35,2021-05-21 09:35:00.701557,15022.3
2022-02-24 02:43:13.808483,NIFTY27MAY2114550PE.NFO,-100,NFO,17.1,2021-05-21 09:35:00.701557,15022.3
2022-02-24 02:45:10.557187,NIFTY27MAY2114550PE.NFO,100,NFO,0.55,2021-05-27 11:34:48.701517,15350.75
2022-02-24 02:45:11.229053,NIFTY27MAY2115450CE.NFO,100,NFO,3.6,2021-05-27 11:34:48.701517,15350.75
2022-02-24 02:45:11.896054,NIFTY27MAY2114700PE.NFO,-50,NFO,0.7,2021-05-27 11:34:48.701517,15350.75
2022-02-24 02:45:12.544246,NIFTY27MAY2115350CE.NFO,-50,NFO,35.35,2021-05-27 11:34:48.701517,15350.75
