broker_order_id,instrument_id,quantity,exchange,average_price,current_datetime,current_ltp
2022-02-18 12:03:03.305666,NIFTY01JUL2116200CE.NFO,50,NFO,5.6,2021-06-25 15:15:00.295584,15866.35
2022-02-18 12:03:03.701723,NIFTY01JUL2115500PE.NFO,50,NFO,13.6,2021-06-25 15:15:00.295584,15866.35
2022-02-18 12:03:04.084730,NIFTY01JUL2116350CE.NFO,-100,NFO,2.7,2021-06-25 15:15:00.295584,15866.35
2022-02-18 12:03:04.555330,NIFTY01JUL2115350PE.NFO,-100,NFO,6.75,2021-06-25 15:15:00.295584,15866.35
2022-02-18 12:05:03.881085,NIFTY01JUL2115350PE.NFO,100,NFO,0.15,2021-07-01 15:12:27.746581,15674.45
2022-02-18 12:05:04.301231,NIFTY01JUL2116350CE.NFO,100,NFO,0.1,2021-07-01 15:12:27.746581,15674.45
2022-02-18 12:05:04.714422,NIFTY01JUL2115500PE.NFO,-50,NFO,0.1,2021-07-01 15:12:27.746581,15674.45
2022-02-18 12:05:05.124516,NIFTY01JUL2116200CE.NFO,-50,NFO,0.05,2021-07-01 15:12:27.746581,15674.45
