broker_order_id,instrument_id,quantity,exchange,average_price,current_datetime,current_ltp
2022-02-18 11:41:34.934423,NIFTY03JUN2115800CE.NFO,50,NFO,8.6,2021-05-28 15:15:00.316962,15437.2
2022-02-18 11:41:35.381631,NIFTY03JUN2115150PE.NFO,50,NFO,28.5,2021-05-28 15:15:00.316962,15437.2
2022-02-18 11:41:35.833777,NIFTY03JUN2115900CE.NFO,-100,NFO,4.5,2021-05-28 15:15:00.316962,15437.2
2022-02-18 11:41:36.299255,NIFTY03JUN2115000PE.NFO,-100,NFO,14.1,2021-05-28 15:15:00.316962,15437.2
2022-02-18 11:44:00.208029,NIFTY03JUN2115000PE.NFO,100,NFO,0.15,2021-06-03 15:12:52.036552,15689.5
2022-02-18 11:44:00.730887,NIFTY03JUN2115900CE.NFO,100,NFO,0.15,2021-06-03 15:12:52.036552,15689.5
2022-02-18 11:44:01.233799,NIFTY03JUN2115150PE.NFO,-50,NFO,0.05,2021-06-03 15:12:52.036552,15689.5
2022-02-18 11:44:01.720510,NIFTY03JUN2115800CE.NFO,-50,NFO,0.1,2021-06-03 15:12:52.036552,15689.5
