broker_order_id,instrument_id,quantity,exchange,average_price,current_datetime,current_ltp
2022-02-18 11:49:08.316751,NIFTY10JUN2116000CE.NFO,50,NFO,12.1,2021-06-04 15:15:00.306619,15671.35
2022-02-18 11:49:08.736227,NIFTY10JUN2115350PE.NFO,50,NFO,14.85,2021-06-04 15:15:00.306619,15671.35
2022-02-18 11:49:09.157859,NIFTY10JUN2116100CE.NFO,-100,NFO,6.0,2021-06-04 15:15:00.306619,15671.35
2022-02-18 11:49:09.583541,NIFTY10JUN2115200PE.NFO,-100,NFO,7.55,2021-06-04 15:15:00.306619,15671.35
2022-02-18 11:51:23.604996,NIFTY10JUN2115200PE.NFO,100,NFO,0.15,2021-06-10 15:12:42.277918,15740.2
2022-02-18 11:51:24.088553,NIFTY10JUN2116100CE.NFO,100,NFO,0.15,2021-06-10 15:12:42.277918,15740.2
2022-02-18 11:51:24.556315,NIFTY10JUN2115350PE.NFO,-50,NFO,0.15,2021-06-10 15:12:42.277918,15740.2
2022-02-18 11:51:25.008689,NIFTY10JUN2116000CE.NFO,-50,NFO,0.1,2021-06-10 15:12:42.277918,15740.2
