underlying_name,current_datetime,current_pnl,strategy_pnl,brokerage_pnl,max_pnl,trailing_pnl,current_ltp,expiry_datetime,position_entry_ltp,is_closed,is_expiry_day,is_broker_working
NIFTY,2021-06-11 15:10:00.000000,0.0,0.0,0,0.0,0.0,15790.2,2021-06-17 15:30:00,,False,False,True
NIFTY,2021-06-11 15:15:00.305667,0.0,0.0,0,0.0,0.0,15799.5,2021-06-17 15:30:00,,False,False,True
NIFTY,2021-06-11 15:20:03.630491,-70.0,10.0,-80,0.0,-70.0,15800.45,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-11 15:25:04.144455,-72.5,7.5,-80,0.0,-72.5,15801.55,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-12 09:10:04.661260,17.5,97.5,-80,17.5,0.0,15799.35,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 09:15:00.515362,307.5,387.5,-80,307.5,0.0,15791.4,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 09:20:01.030704,-70.0,10.0,-80,307.5,-377.5,15765.15,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 09:25:01.560782,-12.5,67.5,-80,307.5,-320.0,15705.85,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 09:30:02.099742,22.5,102.5,-80,307.5,-285.0,15660.1,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 09:35:02.614649,-140.0,-60.0,-80,307.5,-447.5,15607.75,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 09:40:03.134115,22.5,102.5,-80,307.5,-285.0,15672.05,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 09:45:03.645348,57.5,137.5,-80,307.5,-250.0,15680.9,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 09:50:04.185915,62.5,142.5,-80,307.5,-245.0,15689.35,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 09:55:04.718144,65.0,145.0,-80,307.5,-242.5,15696.65,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 10:00:05.239725,-35.0,45.0,-80,307.5,-342.5,15717.4,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 10:05:05.753666,0.0,80.0,-80,307.5,-307.5,15712.3,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 10:10:06.280078,-5.0,75.0,-80,307.5,-312.5,15714.4,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 10:15:06.800717,-25.0,55.0,-80,307.5,-332.5,15732.2,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 10:20:07.316554,-10.0,70.0,-80,307.5,-317.5,15722.95,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 10:25:07.844393,-12.5,67.5,-80,307.5,-320.0,15725.9,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 10:30:08.362675,-17.5,62.5,-80,307.5,-325.0,15717.2,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 10:35:08.877196,-22.5,57.5,-80,307.5,-330.0,15721.3,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 10:40:09.405417,-7.5,72.5,-80,307.5,-315.0,15724.7,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 10:45:09.955649,-5.0,75.0,-80,307.5,-312.5,15721.1,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 10:50:10.474466,-5.0,75.0,-80,307.5,-312.5,15717.65,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 10:55:10.994648,-35.0,45.0,-80,307.5,-342.5,15708.85,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 11:00:11.514230,-42.5,37.5,-80,307.5,-350.0,15714.9,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 11:05:12.050375,-47.5,32.5,-80,307.5,-355.0,15703.05,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 11:10:12.586228,-92.5,-12.5,-80,307.5,-400.0,15687.3,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 11:15:13.116534,-90.0,-10.0,-80,307.5,-397.5,15705.4,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 11:20:13.633002,-60.0,20.0,-80,307.5,-367.5,15704.0,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 11:25:14.179926,-15.0,65.0,-80,307.5,-322.5,15694.4,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 11:30:14.701170,-40.0,40.0,-80,307.5,-347.5,15704.8,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 11:35:15.222584,-65.0,15.0,-80,307.5,-372.5,15711.7,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 11:40:15.744589,-75.0,5.0,-80,307.5,-382.5,15712.75,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 11:45:16.268581,-47.5,32.5,-80,307.5,-355.0,15712.4,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 11:50:16.787397,-57.5,22.5,-80,307.5,-365.0,15715.65,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 11:55:17.302414,-75.0,5.0,-80,307.5,-382.5,15720.15,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 12:00:17.821045,-35.0,45.0,-80,307.5,-342.5,15717.1,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 12:05:18.346998,-45.0,35.0,-80,307.5,-352.5,15720.15,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 12:10:18.865469,-22.5,57.5,-80,307.5,-330.0,15718.95,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 12:15:19.386387,-35.0,45.0,-80,307.5,-342.5,15719.6,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 12:20:19.948890,-27.5,52.5,-80,307.5,-335.0,15719.35,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 12:25:20.483720,-65.0,15.0,-80,307.5,-372.5,15722.55,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 12:30:21.005566,-42.5,37.5,-80,307.5,-350.0,15725.5,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 12:35:21.527156,-80.0,0.0,-80,307.5,-387.5,15734.9,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 12:40:22.053701,-62.5,17.5,-80,307.5,-370.0,15737.4,2021-06-17 15:30:00,15799.5,False,False,True
NIFTY,2021-06-14 12:45:22.601261,-77.5,2.5,-80,307.5,-385.0,15737.15,2021-06-17 15:30:00,15799.5,False,False,True
