underlying_name,current_datetime,current_pnl,strategy_pnl,brokerage_pnl,max_pnl,trailing_pnl,current_ltp,expiry_datetime,position_entry_ltp,is_closed,is_expiry_day,is_broker_working
NIFTY,2021-07-23 15:10:00.000000,0.0,0.0,0,0.0,0.0,15862.55,2021-07-29 15:30:00,,False,False,True
NIFTY,2021-07-23 15:20:00.338569,0.0,0.0,0,0.0,0.0,15854.2,2021-07-29 15:30:00,,False,False,True
NIFTY,2021-07-24 09:10:04.261181,40.0,120.0,-80,40.0,0.0,15856.05,2021-07-29 15:30:00,15854.2,False,False,True
NIFTY,2021-07-26 09:15:00.603298,147.5,227.5,-80,147.5,0.0,15849.3,2021-07-29 15:30:00,15854.2,False,False,True
NIFTY,2021-07-26 09:25:01.203601,-52.5,27.5,-80,147.5,-200.0,15847.9,2021-07-29 15:30:00,15854.2,False,False,True
NIFTY,2021-07-26 09:35:01.802386,-60.0,20.0,-80,147.5,-207.5,15843.0,2021-07-29 15:30:00,15854.2,False,False,True
NIFTY,2021-07-26 09:45:02.402757,-87.5,-7.5,-80,147.5,-235.0,15849.35,2021-07-29 15:30:00,15854.2,False,False,True
NIFTY,2021-07-26 09:55:03.003395,-117.5,-37.5,-80,147.5,-265.0,15854.15,2021-07-29 15:30:00,15854.2,False,False,True
NIFTY,2021-07-26 10:05:03.603277,-125.0,-45.0,-80,147.5,-272.5,15872.7,2021-07-29 15:30:00,15854.2,False,False,True
NIFTY,2021-07-26 10:15:04.202390,-132.5,-52.5,-80,147.5,-280.0,15870.65,2021-07-29 15:30:00,15854.2,False,False,True
NIFTY,2021-07-26 10:25:04.802787,-142.5,-62.5,-80,147.5,-290.0,15868.8,2021-07-29 15:30:00,15854.2,False,False,True
NIFTY,2021-07-26 10:35:05.410129,-112.5,-32.5,-80,147.5,-260.0,15883.75,2021-07-29 15:30:00,15854.2,False,False,True
NIFTY,2021-07-26 10:45:06.011881,-97.5,-17.5,-80,147.5,-245.0,15882.3,2021-07-29 15:30:00,15854.2,False,False,True
NIFTY,2021-07-26 10:55:06.613096,-107.5,-27.5,-80,147.5,-255.0,15871.3,2021-07-29 15:30:00,15854.2,False,False,True
NIFTY,2021-07-26 11:05:07.215856,-100.0,-20.0,-80,147.5,-247.5,15884.9,2021-07-29 15:30:00,15854.2,False,False,True
NIFTY,2021-07-26 11:15:07.818231,-107.5,-27.5,-80,147.5,-255.0,15882.75,2021-07-29 15:30:00,15854.2,False,False,True
NIFTY,2021-07-26 11:25:08.421751,-107.5,-27.5,-80,147.5,-255.0,15881.4,2021-07-29 15:30:00,15854.2,False,False,True
NIFTY,2021-07-26 11:35:09.024124,-130.0,-50.0,-80,147.5,-277.5,15862.25,2021-07-29 15:30:00,15854.2,False,False,True
NIFTY,2021-07-26 11:45:09.625675,-112.5,-32.5,-80,147.5,-260.0,15850.6,2021-07-29 15:30:00,15854.2,False,False,True
NIFTY,2021-07-26 11:55:10.228169,-105.0,-25.0,-80,147.5,-252.5,15848.5,2021-07-29 15:30:00,15854.2,False,False,True
NIFTY,2021-07-26 12:05:10.830598,-105.0,-25.0,-80,147.5,-252.5,15856.5,2021-07-29 15:30:00,15854.2,False,False,True
NIFTY,2021-07-26 12:15:11.435786,-100.0,-20.0,-80,147.5,-247.5,15848.4,2021-07-29 15:30:00,15854.2,False,False,True
NIFTY,2021-07-26 12:25:12.039656,-112.5,-32.5,-80,147.5,-260.0,15848.55,2021-07-29 15:30:00,15854.2,False,False,True
NIFTY,2021-07-26 12:35:12.641223,-120.0,-40.0,-80,147.5,-267.5,15865.9,2021-07-29 15:30:00,15854.2,False,False,True
NIFTY,2021-07-26 12:45:13.244776,-122.5,-42.5,-80,147.5,-270.0,15856.8,2021-07-29 15:30:00,15854.2,False,False,True
