underlying_name,current_datetime,current_pnl,strategy_pnl,brokerage_pnl,max_pnl,trailing_pnl,current_ltp,expiry_datetime,position_entry_ltp,is_closed,is_expiry_day,is_broker_working
NIFTY,2021-06-25 15:10:00.000000,0.0,0.0,0,0.0,0.0,15859.5,2021-07-01 15:30:00,,False,False,True
NIFTY,2021-06-25 15:15:00.295584,0.0,0.0,0,0.0,0.0,15866.35,2021-07-01 15:30:00,,False,False,True
NIFTY,2021-06-25 15:20:03.436331,-100.0,-20.0,-80,0.0,-100.0,15862.45,2021-07-01 15:30:00,15866.35,False,False,True
NIFTY,2021-06-25 15:25:03.917167,-72.5,7.5,-80,0.0,-72.5,15855.6,2021-07-01 15:30:00,15866.35,False,False,True
NIFTY,2021-06-26 09:10:04.416751,60.0,140.0,-80,60.0,0.0,15860.35,2021-07-01 15:30:00,15866.35,False,False,True
NIFTY,2021-06-28 09:15:00.477263,-2.5,77.5,-80,60.0,-62.5,15915.35,2021-07-01 15:30:00,15866.35,False,False,True
NIFTY,2021-06-28 09:20:00.964897,-97.5,-17.5,-80,60.0,-157.5,15885.95,2021-07-01 15:30:00,15866.35,False,False,True
NIFTY,2021-06-28 09:25:01.460259,-100.0,-20.0,-80,60.0,-160.0,15867.0,2021-07-01 15:30:00,15866.35,False,False,True
NIFTY,2021-06-28 09:30:01.945170,-115.0,-35.0,-80,60.0,-175.0,15898.65,2021-07-01 15:30:00,15866.35,False,False,True
NIFTY,2021-06-28 09:35:02.433471,-125.0,-45.0,-80,60.0,-185.0,15889.1,2021-07-01 15:30:00,15866.35,False,False,True
NIFTY,2021-06-28 09:40:02.928214,-87.5,-7.5,-80,60.0,-147.5,15851.8,2021-07-01 15:30:00,15866.35,False,False,True
NIFTY,2021-06-28 09:45:03.414575,-110.0,-30.0,-80,60.0,-170.0,15860.05,2021-07-01 15:30:00,15866.35,False,False,True
NIFTY,2021-06-28 09:50:03.908771,-107.5,-27.5,-80,60.0,-167.5,15869.7,2021-07-01 15:30:00,15866.35,False,False,True
NIFTY,2021-06-28 09:55:04.386437,-115.0,-35.0,-80,60.0,-175.0,15876.2,2021-07-01 15:30:00,15866.35,False,False,True
NIFTY,2021-06-28 10:00:04.880611,-100.0,-20.0,-80,60.0,-160.0,15863.55,2021-07-01 15:30:00,15866.35,False,False,True
NIFTY,2021-06-28 10:05:05.359353,-107.5,-27.5,-80,60.0,-167.5,15861.2,2021-07-01 15:30:00,15866.35,False,False,True
NIFTY,2021-06-28 10:10:05.842567,-105.0,-25.0,-80,60.0,-165.0,15854.5,2021-07-01 15:30:00,15866.35,False,False,True
NIFTY,2021-06-28 10:15:06.328750,-100.0,-20.0,-80,60.0,-160.0,15859.6,2021-07-01 15:30:00,15866.35,False,False,True
NIFTY,2021-06-28 10:20:06.812265,-117.5,-37.5,-80,60.0,-177.5,15857.45,2021-07-01 15:30:00,15866.35,False,False,True
NIFTY,2021-06-28 10:25:07.299169,-107.5,-27.5,-80,60.0,-167.5,15859.1,2021-07-01 15:30:00,15866.35,False,False,True
NIFTY,2021-06-28 10:30:07.789529,-120.0,-40.0,-80,60.0,-180.0,15862.75,2021-07-01 15:30:00,15866.35,False,False,True
NIFTY,2021-06-28 10:35:08.272653,-95.0,-15.0,-80,60.0,-155.0,15848.65,2021-07-01 15:30:00,15866.35,False,False,True
NIFTY,2021-06-28 10:40:08.754862,-85.0,-5.0,-80,60.0,-145.0,15832.85,2021-07-01 15:30:00,15866.35,False,False,True
NIFTY,2021-06-28 10:45:09.239748,-35.0,45.0,-80,60.0,-95.0,15827.35,2021-07-01 15:30:00,15866.35,False,False,True
NIFTY,2021-06-28 10:50:09.718439,-77.5,2.5,-80,60.0,-137.5,15840.0,2021-07-01 15:30:00,15866.35,False,False,True
NIFTY,2021-06-28 10:55:10.201575,-50.0,30.0,-80,60.0,-110.0,15830.9,2021-07-01 15:30:00,15866.35,False,False,True
NIFTY,2021-06-28 11:00:10.697838,-67.5,12.5,-80,60.0,-127.5,15834.8,2021-07-01 15:30:00,15866.35,False,False,True
NIFTY,2021-06-28 11:05:11.180070,-85.0,-5.0,-80,60.0,-145.0,15841.3,2021-07-01 15:30:00,15866.35,False,False,True
