underlying_name,current_datetime,current_pnl,strategy_pnl,brokerage_pnl,max_pnl,trailing_pnl,current_ltp,expiry_datetime,position_entry_ltp,is_closed,is_expiry_day,is_broker_working
NIFTY,2021-08-06 15:10:00.000000,0.0,0.0,0,0,0.0,16233.45,2021-08-12 15:30:00,,False,False,True
NIFTY,2021-08-06 15:20:00.309475,0.0,0.0,0,0,0.0,16235.85,2021-08-12 15:30:00,,False,False,True
NIFTY,2021-08-07 09:15:03.794355,-212.5,-132.5,-80,0,-212.5,16238.2,2021-08-12 15:30:00,16235.85,False,False,True
NIFTY,2021-08-09 09:15:00.537383,-250.0,-170.0,-80,0,-250.0,16281.35,2021-08-12 15:30:00,16235.85,False,False,True
NIFTY,2021-08-09 09:25:01.074869,-150.0,-70.0,-80,0,-150.0,16288.5,2021-08-12 15:30:00,16235.85,False,False,True
NIFTY,2021-08-09 09:35:01.612966,-195.0,-115.0,-80,0,-195.0,16305.65,2021-08-12 15:30:00,16235.85,False,False,True
NIFTY,2021-08-09 09:45:02.150677,-220.0,-140.0,-80,0,-220.0,16302.85,2021-08-12 15:30:00,16235.85,False,False,True
NIFTY,2021-08-09 09:55:02.686973,-192.5,-112.5,-80,0,-192.5,16316.5,2021-08-12 15:30:00,16235.85,False,False,True
NIFTY,2021-08-09 10:05:03.223870,-200.0,-120.0,-80,0,-200.0,16313.9,2021-08-12 15:30:00,16235.85,False,False,True
NIFTY,2021-08-09 10:15:03.760810,-192.5,-112.5,-80,0,-192.5,16299.25,2021-08-12 15:30:00,16235.85,False,False,True
NIFTY,2021-08-09 10:25:04.299876,-190.0,-110.0,-80,0,-190.0,16301.95,2021-08-12 15:30:00,16235.85,False,False,True
NIFTY,2021-08-09 10:35:04.840184,-190.0,-110.0,-80,0,-190.0,16294.55,2021-08-12 15:30:00,16235.85,False,False,True
NIFTY,2021-08-09 10:45:05.378044,-175.0,-95.0,-80,0,-175.0,16289.5,2021-08-12 15:30:00,16235.85,False,False,True
NIFTY,2021-08-09 10:55:05.921962,-212.5,-132.5,-80,0,-212.5,16286.45,2021-08-12 15:30:00,16235.85,False,False,True
NIFTY,2021-08-09 11:05:06.460847,-215.0,-135.0,-80,0,-215.0,16283.35,2021-08-12 15:30:00,16235.85,False,False,True
NIFTY,2021-08-09 11:15:06.997679,-232.5,-152.5,-80,0,-232.5,16289.7,2021-08-12 15:30:00,16235.85,False,False,True
NIFTY,2021-08-09 11:25:07.536474,-230.0,-150.0,-80,0,-230.0,16296.2,2021-08-12 15:30:00,16235.85,False,False,True
NIFTY,2021-08-09 11:35:08.073663,-222.5,-142.5,-80,0,-222.5,16282.45,2021-08-12 15:30:00,16235.85,False,False,True
NIFTY,2021-08-09 11:45:08.612658,-225.0,-145.0,-80,0,-225.0,16277.75,2021-08-12 15:30:00,16235.85,False,False,True
NIFTY,2021-08-09 11:55:09.154120,-215.0,-135.0,-80,0,-215.0,16266.4,2021-08-12 15:30:00,16235.85,False,False,True
NIFTY,2021-08-09 12:05:09.697961,-195.0,-115.0,-80,0,-195.0,16255.2,2021-08-12 15:30:00,16235.85,False,False,True
NIFTY,2021-08-09 12:15:10.236446,-192.5,-112.5,-80,0,-192.5,16257.6,2021-08-12 15:30:00,16235.85,False,False,True
NIFTY,2021-08-09 12:25:10.775884,-195.0,-115.0,-80,0,-195.0,16240.3,2021-08-12 15:30:00,16235.85,False,False,True
NIFTY,2021-08-09 12:35:11.316176,-207.5,-127.5,-80,0,-207.5,16257.35,2021-08-12 15:30:00,16235.85,False,False,True
NIFTY,2021-08-09 12:45:11.857012,-235.0,-155.0,-80,0,-235.0,16264.4,2021-08-12 15:30:00,16235.85,False,False,True
NIFTY,2021-08-09 12:55:12.395334,-205.0,-125.0,-80,0,-205.0,16245.85,2021-08-12 15:30:00,16235.85,False,False,True
NIFTY,2021-08-09 13:05:12.934348,-205.0,-125.0,-80,0,-205.0,16249.05,2021-08-12 15:30:00,16235.85,False,False,True
NIFTY,2021-08-09 13:15:13.474053,-192.5,-112.5,-80,0,-192.5,16242.15,2021-08-12 15:30:00,16235.85,False,False,True
NIFTY,2021-08-09 13:25:14.014118,-207.5,-127.5,-80,0,-207.5,16239.85,2021-08-12 15:30:00,16235.85,False,False,True
NIFTY,2021-08-09 13:35:14.555403,-140.0,-60.0,-80,0,-140.0,16212.35,2021-08-12 15:30:00,16235.85,False,False,True
NIFTY,2021-08-09 13:45:15.096053,-72.5,7.5,-80,0,-72.5,16190.95,2021-08-12 15:30:00,16235.85,False,False,True
NIFTY,2021-08-09 13:55:15.637088,-127.5,-47.5,-80,0,-127.5,16202.55,2021-08-12 15:30:00,16235.85,False,False,True
NIFTY,2021-08-09 14:05:16.179430,-175.0,-95.0,-80,0,-175.0,16216.45,2021-08-12 15:30:00,16235.85,False,False,True
