underlying_name,current_datetime,current_pnl,strategy_pnl,brokerage_pnl,max_pnl,trailing_pnl,current_ltp,expiry_datetime,position_entry_ltp,is_closed,is_expiry_day,is_broker_working
NIFTY,2021-06-18 15:10:00.000000,0.0,0.0,0,0.0,0.0,15663.4,2021-06-24 15:30:00,,False,False,True
NIFTY,2021-06-18 15:15:00.340623,0.0,0.0,0,0.0,0.0,15683.2,2021-06-24 15:30:00,,False,False,True
NIFTY,2021-06-18 15:20:04.455376,-32.5,47.5,-80,0.0,-32.5,15706.5,2021-06-24 15:30:00,15683.2,False,False,True
NIFTY,2021-06-18 15:25:05.094795,-27.5,52.5,-80,0.0,-27.5,15719.05,2021-06-24 15:30:00,15683.2,False,False,True
NIFTY,2021-06-19 09:10:05.725493,22.5,102.5,-80,22.5,0.0,15683.35,2021-06-24 15:30:00,15683.2,False,False,True
NIFTY,2021-06-21 09:15:00.624777,175.0,255.0,-80,175.0,0.0,15525.85,2021-06-24 15:30:00,15683.2,False,False,True
NIFTY,2021-06-21 09:20:01.256661,-365.0,-285.0,-80,175.0,-540.0,15541.6,2021-06-24 15:30:00,15683.2,False,False,True
NIFTY,2021-06-21 09:25:01.890071,-55.0,25.0,-80,175.0,-230.0,15572.6,2021-06-24 15:30:00,15683.2,False,False,True
NIFTY,2021-06-21 09:30:02.518674,-65.0,15.0,-80,175.0,-240.0,15577.85,2021-06-24 15:30:00,15683.2,False,False,True
NIFTY,2021-06-21 09:35:03.144447,12.5,92.5,-80,175.0,-162.5,15575.9,2021-06-24 15:30:00,15683.2,False,False,True
NIFTY,2021-06-21 09:40:03.770468,-2.5,77.5,-80,175.0,-177.5,15578.45,2021-06-24 15:30:00,15683.2,False,False,True
NIFTY,2021-06-21 09:45:04.409468,32.5,112.5,-80,175.0,-142.5,15582.4,2021-06-24 15:30:00,15683.2,False,False,True
NIFTY,2021-06-21 09:50:05.037509,12.5,92.5,-80,175.0,-162.5,15572.85,2021-06-24 15:30:00,15683.2,False,False,True
NIFTY,2021-06-21 09:55:05.666763,0.0,80.0,-80,175.0,-175.0,15559.55,2021-06-24 15:30:00,15683.2,False,False,True
NIFTY,2021-06-21 10:00:06.291330,20.0,100.0,-80,175.0,-155.0,15573.05,2021-06-24 15:30:00,15683.2,False,False,True
NIFTY,2021-06-21 10:05:06.917841,15.0,95.0,-80,175.0,-160.0,15579.95,2021-06-24 15:30:00,15683.2,False,False,True
NIFTY,2021-06-21 10:10:07.549204,12.5,92.5,-80,175.0,-162.5,15599.85,2021-06-24 15:30:00,15683.2,False,False,True
NIFTY,2021-06-21 10:15:08.176371,17.5,97.5,-80,175.0,-157.5,15594.95,2021-06-24 15:30:00,15683.2,False,False,True
NIFTY,2021-06-21 10:20:08.801276,15.0,95.0,-80,175.0,-160.0,15612.3,2021-06-24 15:30:00,15683.2,False,False,True
NIFTY,2021-06-21 10:25:09.428709,-2.5,77.5,-80,175.0,-177.5,15603.2,2021-06-24 15:30:00,15683.2,False,False,True
NIFTY,2021-06-21 10:30:10.055670,-20.0,60.0,-80,175.0,-195.0,15621.4,2021-06-24 15:30:00,15683.2,False,False,True
NIFTY,2021-06-21 10:35:10.682390,-30.0,50.0,-80,175.0,-205.0,15620.2,2021-06-24 15:30:00,15683.2,False,False,True
NIFTY,2021-06-21 10:40:11.310608,-30.0,50.0,-80,175.0,-205.0,15610.45,2021-06-24 15:30:00,15683.2,False,False,True
NIFTY,2021-06-21 10:45:11.946753,-55.0,25.0,-80,175.0,-230.0,15631.35,2021-06-24 15:30:00,15683.2,False,False,True
NIFTY,2021-06-21 10:50:12.574494,-32.5,47.5,-80,175.0,-207.5,15616.25,2021-06-24 15:30:00,15683.2,False,False,True
NIFTY,2021-06-21 10:55:13.219788,-57.5,22.5,-80,175.0,-232.5,15620.45,2021-06-24 15:30:00,15683.2,False,False,True
