underlying_name,current_datetime,current_pnl,strategy_pnl,brokerage_pnl,max_pnl,trailing_pnl,current_ltp,expiry_datetime,position_entry_ltp,is_closed,is_expiry_day,is_broker_working
NIFTY,2021-07-02 15:10:00.000000,0.0,0.0,0,0.0,0.0,15712.1,2021-07-08 15:30:00,,False,False,True
NIFTY,2021-07-02 15:15:00.297524,0.0,0.0,0,0.0,0.0,15722.05,2021-07-08 15:30:00,,False,False,True
NIFTY,2021-07-02 15:20:03.366241,-80.0,0.0,-80,0.0,-80.0,15725.15,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-02 15:25:03.853498,-62.5,17.5,-80,0.0,-62.5,15732.65,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-03 09:10:04.338836,-112.5,-32.5,-80,0.0,-112.5,15722.2,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 09:15:00.492406,20.0,100.0,-80,20.0,0.0,15793.4,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 09:20:00.980117,-77.5,2.5,-80,20.0,-97.5,15790.45,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 09:25:01.466881,-7.5,72.5,-80,20.0,-27.5,15808.45,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 09:30:01.953155,-25.0,55.0,-80,20.0,-45.0,15807.2,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 09:35:02.439827,-32.5,47.5,-80,20.0,-52.5,15812.75,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 09:40:02.928008,-55.0,25.0,-80,20.0,-75.0,15816.1,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 09:45:03.415317,-52.5,27.5,-80,20.0,-72.5,15813.6,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 09:50:03.902027,-32.5,47.5,-80,20.0,-52.5,15817.7,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 09:55:04.391194,-35.0,45.0,-80,20.0,-55.0,15815.0,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 10:00:04.879846,-17.5,62.5,-80,20.0,-37.5,15815.75,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 10:05:05.371620,-75.0,5.0,-80,20.0,-95.0,15810.6,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 10:10:05.861251,-70.0,10.0,-80,20.0,-90.0,15808.9,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 10:15:06.349525,-32.5,47.5,-80,20.0,-52.5,15818.75,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 10:20:06.838515,-15.0,65.0,-80,20.0,-35.0,15825.1,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 10:25:07.328714,-30.0,50.0,-80,20.0,-50.0,15821.35,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 10:30:07.818671,5.0,85.0,-80,20.0,-15.0,15823.8,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 10:35:08.309054,12.5,92.5,-80,20.0,-7.5,15825.15,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 10:40:08.797658,7.5,87.5,-80,20.0,-12.5,15820.9,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 10:45:09.288492,2.5,82.5,-80,20.0,-17.5,15820.4,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 10:50:09.783742,7.5,87.5,-80,20.0,-12.5,15826.75,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 10:55:10.272058,10.0,90.0,-80,20.0,-10.0,15826.3,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 11:00:10.760770,15.0,95.0,-80,20.0,-5.0,15827.6,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 11:05:11.251076,20.0,100.0,-80,20.0,0.0,15829.75,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 11:10:11.741188,10.0,90.0,-80,20.0,-10.0,15825.6,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 11:15:12.230250,-20.0,60.0,-80,20.0,-40.0,15824.4,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 11:20:12.721591,-30.0,50.0,-80,20.0,-50.0,15822.4,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 11:25:13.207720,-17.5,62.5,-80,20.0,-37.5,15825.55,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 11:30:13.697068,-30.0,50.0,-80,20.0,-50.0,15822.65,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 11:35:14.185685,-25.0,55.0,-80,20.0,-45.0,15823.25,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 11:40:14.676343,-12.5,67.5,-80,20.0,-32.5,15826.3,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 11:45:15.164276,-20.0,60.0,-80,20.0,-40.0,15825.1,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 11:50:15.656246,-15.0,65.0,-80,20.0,-35.0,15824.6,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 11:55:16.147609,-20.0,60.0,-80,20.0,-40.0,15825.0,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 12:00:16.638722,-35.0,45.0,-80,20.0,-55.0,15826.85,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 12:05:17.131291,-20.0,60.0,-80,20.0,-40.0,15828.8,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 12:10:17.622032,-20.0,60.0,-80,20.0,-40.0,15830.4,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 12:15:18.114285,-5.0,75.0,-80,20.0,-25.0,15828.2,2021-07-08 15:30:00,15722.05,False,False,True
NIFTY,2021-07-05 12:20:18.604480,-85.0,-5.0,-80,20.0,-105.0,15807.7,2021-07-08 15:30:00,15722.05,False,False,True
